CÓDIGO OACI;CIAD;NOME;MUNICÍPIO ATENDIDO;UF;LATITUDE;LONGITUDE;ALTITUDE;OPERAÇÃO;OACI;AIP BRASIL;DESIGNAÇÃO1;COMPRIMENTO1;LARGURA1;RESISTÊNCIA1;SUPERFÍCIE1;DESIGNAÇÃO2;COMPRIMENTO2;LARGURA2;RESISTÊNCIA2;SUPERFÍCIE2;DESIGNAÇÃO3;COMPRIMENTO3;LARGURA3;RESISTÊNCIA3;SUPERFÍCIE3;RAMPA(S) DE APROXIMAÇÃO;FORMATO DA ÁREA DE POUSO;DIMENSÕES;RESISTÊNCIA;SUPERFÍCIE;p1;p2;p3;p4;PORTARIAS;Unnamed: 36;Unnamed: 37;Unnamed: 38;Portaria nº 7.445/2022 e alterações posteriores;"PORTARIA Nº 7736/2022 e alterações posteriores
A Classe I se divide ainda em I-A, sem voo regular e I-B, com voo regular";"PORTARIA Nº 2007/2014 E ALTERAÇÕES
(* = REGIME TARIFÁRIO DIFERENCIADO)";AERONAVE CRÍTICA;TIPO DE APROX. (CABECEIRAS);FREQ. SEMANAL;r1;r2;REFERÊNCIA(S);RESTRIÇÃO(ÕES);SITUAÇÃO;r1.1;REFERÊNCIA;SITUADO NA AMAZÔNIA LEGAL;OBSERVAÇÕES;ICAO;TYPE;LATITUDE_d;LONGITUDE_d;ALTITUDE_m;DESIGNAÇÃO1_d_NM;COMPRIMENTO1_m;LARGURA1_m;DESIGNAÇÃO2_d_NM;COMPRIMENTO2_m;LARGURA2_m;DESIGNAÇÃO3_d_NM;COMPRIMENTO3_m;LARGURA3_m;N_RWYs
SSKG;MS0003;ESTÂNCIA SANTA MARIA;CAMPO GRANDE;MS;20° 30' 20'' S;54° 31' 29'' W;618 m;VFR Diurno/Noturno;-;-; 06/24;1500 m;30 m;5600 kg / 0.5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1390;0;0;0;PA2020-1390;;;;AP-0;Classe I;4ª;-;-;-;-;-;-;-;-;-;-;;-;SSKG;BR_publico_Atualizadoem_19JUL2022;-20,50555556;-54,52472222;618;60;1500;30;;;;;;;1
SSKK;RS0052;CAPÃO DA CANOA;CAPÃO DA CANOA;RS;29° 45' 49'' S;50° 2' 13'' W;10 m;VFR Diurno;-;-; 08/26;700 m;27 m;2500 kg / 0.5 MPa;Grama;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-0979;0;0;0;PA2020-0979;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;Proibidas operações de pouso na RWY 08;SSKK;BR_publico_Atualizadoem_19JUL2022;-29,76361111;-50,03694444;10;80;700;27;;;;;;;1
SSKM;PR0017;CAMPO MOURÃO;CAMPO MOURÃO;PR;24° 0' 9'' S;52° 21' 25'' W;574 m;VFR Diurno/Noturno;-;-; 02/20;1370 m;30 m;PCN 14/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-0578;0;0;0;PA2020-0578;;;;AP-1;Classe I;4ª;-;-;-;-;-;-;-;-;-;-;;-;SSKM;BR_publico_Atualizadoem_19JUL2022;-24,0025;-52,35694444;574;20;1370;30;;;;;;;1
SSKS;RS0039;BRIGADEIRO NERO MOURA;CACHOEIRA DO SUL;RS;30° 0' 8'' S;52° 56' 25'' W;77 m;VFR Diurno;-;-; 12/30;1020 m;18 m;PCN 10/F/B/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-3744;0;0;0;PA2020-3744;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SSKS;BR_publico_Atualizadoem_19JUL2022;-30,00222222;-52,94027778;77;120;1020;18;;;;;;;1
SSKU;SC0016;LAURO ANTÔNIO DA COSTA;CURITIBANOS;SC;27° 17' 14'' S;50° 36' 14'' W;978 m;VFR Diurno/Noturno;-;-; 11/29;1400 m;30 m;PCN 22/F/A/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1296;0;0;0;PA2020-1296;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SSKU;BR_publico_Atualizadoem_19JUL2022;-27,28722222;-50,60388889;978;110;1400;30;;;;;;;1
SSKW;RO0004;CACOAL;CACOAL;RO;11° 29' 44'' S;61° 27' 3'' W;249 m;VFR Diurno/Noturno;-;-; 17/35;2100 m;45 m;PCN 31/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1567;0;0;0;PA2020-1567;;;;AP-1;Classe I;3ª;3C;NINST;8;-;PA2016-0908;-;PA2016-0908;-;-;-;X;-;SSKW;BR_publico_Atualizadoem_19JUL2022;-11,49555556;-61,45083333;249;170;2100;45;;;;;;;1
SSKZ;RS0009;CARAZINHO;CARAZINHO;RS;28° 19' 18'' S;52° 49' 0'' W;565 m;VFR Diurno/Noturno;-;-; 11/29;1560 m;30 m;PCN 12/F/B/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2022-6995;0;0;0;PA2022-6995;;;;AP-0;Classe I;4ª;-;-;-;-;-;-;-;-;-;-;;-;SSKZ;BR_publico_Atualizadoem_19JUL2022;-28,32166667;-52,81666667;565;110;1560;30;;;;;;;1
SSLG;RS0021;SÃO LUIZ GONZAGA;SÃO LUIZ GONZAGA;RS;28° 22' 35'' S;55° 2' 15'' W;200 m;VFR Diurno;-;-; 06/24;1200 m;60 m;PCN 8/F/C/Y/U;Saibro;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-4950;0;0;0;PA2021-4950;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SSLG;BR_publico_Atualizadoem_19JUL2022;-28,37638889;-55,0375;200;60;1200;60;;;;;;;1
SSLN;SC0018;HELMUTH BAUNGARTEM;LONTRAS;SC;27° 9' 35'' S;49° 32' 34'' W;334 m;VFR Diurno/Noturno;-;-; 07/25;1077 m;23 m;PCN 10/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1081;0;0;0;PA2020-1081;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SSLN;BR_publico_Atualizadoem_19JUL2022;-27,15972222;-49,54277778;334;70;1077;23;;;;;;;1
SSLO;PR0031;ATTILLIO ACCORSI;LOANDA;PR;22° 55' 4'' S;53° 8' 59'' W;470 m;VFR Diurno;-;-; 05/23;1100 m;23 m;PCN 14/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PD1980-0013;0;0;0;PD1980-0013;;;;AP-0;Classe I;4ª;-;-;-;-;-;-;-;Interditado;PA2015-2631;PA2015-2631;;-;SSLO;BR_publico_Atualizadoem_19JUL2022;-22,91777778;-53,14972222;470;50;1100;23;;;;;;;1
SSLT;RS0022;GAUDÊNCIO MACHADO RAMOS;ALEGRETE;RS;29° 48' 45'' S;55° 53' 36'' W;125 m;VFR Diurno;-;-; 15/33;1200 m;18 m;PCN 6/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-2417;0;0;0;PA2020-2417;;;;AP-1;Classe I;4ª;-;-;-;-;-;-;-;Proibição de operações de pouso de aeronaves de asa fixa com motor à reação (turbojato).;PA2018-2675;PA2018-2675;;-;SSLT;BR_publico_Atualizadoem_19JUL2022;-29,8125;-55,89333333;125;150;1200;18;;;;;;;1
SSMJ;MS0020;MARACAJU;MARACAJU;MS;21° 38' 2'' S;55° 8' 42'' W;390 m;VFR Diurno;-;-; 01/19;800 m;30 m;5600 kg / 0.5 MPa;Grama;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1196;0;0;0;PA2020-1196;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SSMJ;BR_publico_Atualizadoem_19JUL2022;-21,63388889;-55,145;390;10;800;30;;;;;;;1
SSMR;PR0026;MANOEL RIBAS;MANOEL RIBAS;PR;24° 31' 46'' S;51° 39' 6'' W;886 m;VFR Diurno;-;-; 17/35;1200 m;30 m;PCN 12/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2017-1810;0;0;0;PA2017-1810;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SSMR;BR_publico_Atualizadoem_19JUL2022;-24,52944444;-51,65166667;886;170;1200;30;;;;;;;1
SSMT;RS0044;MOSTARDAS;MOSTARDAS;RS;31° 6' 15'' S;50° 54' 44'' W;18 m;VFR Diurno;-;-; 05/23;975 m;18 m;5700 kg / 0.5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PD1971-0009;0;0;0;PD1971-0009;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;Interditado;PA2019-2366;PA2019-2366;;-;SSMT;BR_publico_Atualizadoem_19JUL2022;-31,10416667;-50,91222222;18;50;975;18;;;;;;;1
SSNB;MS0015;ARIOSTO DA RIVA;NAVIRAÍ;MS;23° 2' 3'' S;54° 10' 40'' W;406 m;VFR Diurno;-;-; 10/28;1398 m;23 m;PCN 10/F/B/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-4772;0;0;0;PA2021-4772;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SSNB;BR_publico_Atualizadoem_19JUL2022;-23,03416667;-54,17777778;406;100;1398;23;;;;;;;1
SSNG;RS0046;MONTENEGRO;MONTENEGRO;RS;29° 43' 11'' S;51° 29' 20'' W;24 m;VFR Diurno;-;-; 13/31;920 m;23 m;5700 kg / 0.5 MPa;Grama;-;-;-;-;-;-;-;-;-;-;13  31;quadrado;18 m x18 m;3 t;Grama;PA2016-1774;0;0;0;PA2016-1774;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SSNG;BR_publico_Atualizadoem_19JUL2022;-29,71972222;-51,48888889;24;130;920;23;;;;;;;1
SSNH;RS0023;NOVO HAMBURGO;NOVO HAMBURGO;RS;29° 41' 57'' S;51° 4' 55'' W;15 m;VFR Diurno;-;-; 02/20;870 m;30 m;5700 kg / 0.5 MPa;Grama;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1592;0;0;0;PA2020-1592;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SSNH;BR_publico_Atualizadoem_19JUL2022;-29,69916667;-51,08194444;15;20;870;30;;;;;;;1
SSNP;RS0041;NOVA PRATA;NOVA PRATA;RS;28° 48' 9'' S;51° 36' 15'' W;690 m;VFR Diurno;-;-; 13/31;1000 m;30 m;PCN 5/F/B/Y/U;Terra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PD1985-0068;0;0;0;PD1985-0068;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SSNP;BR_publico_Atualizadoem_19JUL2022;-28,8025;-51,60416667;690;130;1000;30;;;;;;;1
SSNQ;MS0016;NIOAQUE;NIOAQUE;MS;21° 11' 5'' S;55° 49' 49'' W;300 m;VFR Diurno;-;-; 18/36;1200 m;60 m;PCN 8/F/C/Y/U;Grama;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PD1960-0110;0;0;0;PD1960-0110;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;Interditado;PA2019-3450;PA2019-3450;;-;SSNQ;BR_publico_Atualizadoem_19JUL2022;-21,18472222;-55,83027778;300;180;1200;60;;;;;;;1
SSOE;SC0015;HÉLIO WASUM;SÃO MIGUEL DO OESTE;SC;26° 46' 52'' S;53° 30' 12'' W;665 m;VFR Diurno/Noturno;-;-; 17/35;1260 m;18 m;PCN 11/F/A/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1292;0;0;0;PA2020-1292;;;;AP-0;Classe I;4ª;-;-;-;-;-;-;-;-;-;-;;-;SSOE;BR_publico_Atualizadoem_19JUL2022;-26,78111111;-53,50333333;665;170;1260;18;;;;;;;1
SSOG;PR0027;ARAPONGAS;ARAPONGAS;PR;23° 21' 21'' S;51° 29' 27'' W;792 m;VFR Diurno/Noturno;-;-; 16/34;1200 m;23 m;PCN 6/F/B/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2017-2398;0;0;0;PA2017-2398;;;;AP-1;Classe I;4ª;-;-;-;-;-;-;-;-;-;-;;-;SSOG;BR_publico_Atualizadoem_19JUL2022;-23,35583333;-51,49083333;792;160;1200;23;;;;;;;1
SSOI;SP0043;PEDERNEIRAS;PEDERNEIRAS;SP;22° 18' 26'' S;48° 46' 23'' W;536 m;VFR Diurno;-;-; 16/34;1165 m;20 m;PCN 7/F/B/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-5709;0;0;0;PA2021-5709;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SSOI;BR_publico_Atualizadoem_19JUL2022;-22,30722222;-48,77305556;536;160;1165;20;;;;;;;1
SSOL;MG0027;PADRE ISRAEL (ISRAEL BATISTA DE CARVALHO);LAVRAS;MG;21° 14' 26'' S;44° 57' 51'' W;959 m;VFR Diurno/Noturno;-;-; 05/23;1500 m;30 m;PCN 12/F/C/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-5271;0;0;0;PA2021-5271;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SSOL;BR_publico_Atualizadoem_19JUL2022;-21,24055556;-44,96416667;959;50;1500;30;;;;;;;1
SSOS;RS0042;OSÓRIO;OSÓRIO;RS;29° 54' 8'' S;50° 14' 57'' W;17 m;VFR Diurno;-;-; 11/29;950 m;25 m;5700 kg / 0.5 MPa;Saibro;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1195;0;0;0;PA2020-1195;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SSOS;BR_publico_Atualizadoem_19JUL2022;-29,90222222;-50,24916667;17;110;950;25;;;;;;;1
SBPO;PR0018;AEROPORTO REGIONAL DE PATO BRANCO - PROFESSOR JUVENAL LOUREIRO CARDOSO;PATO BRANCO;PR;26° 13' 2'' S;52° 41' 40'' W;823 m;VFR Diurno/Noturno e IFR Diurno/Noturno;-;-; 07/25;1621 m;30 m;PCN 50/F/A/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-6224;0;0;0;PA2021-6224;;;;AP-1;Classe I;4ª;2C;NPA;;PA2020-0857;-;PA2020-0857;-;-;-;-;;-;SBPO;BR_publico_Atualizadoem_19JUL2022;-26,21722222;-52,69444444;823;70;1621;30;;;;;;;1
SSPG;PR0011;SANTOS DUMONT;PARANAGUÁ;PR;25° 32' 26'' S;48° 31' 52'' W;5 m;VFR Diurno;-;-; 06/24;1455 m;30 m;PCN 16/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PD1991-0064;0;0;0;PD1991-0064;;;;AP-0;Classe I;4ª;-;-;-;-;-;-;-;-;-;-;;-;SSPG;BR_publico_Atualizadoem_19JUL2022;-25,54055556;-48,53111111;5;60;1455;30;;;;;;;1
SSPI;PR0010;EDU CHAVES;PARANAVAÍ;PR;23° 5' 24'' S;52° 29' 19'' W;474 m;VFR Diurno;-;-; 13/31;1500 m;30 m;PCN 13/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-1832;0;0;0;PA2015-1832;;;;AP-1;Classe I;4ª;-;-;-;-;-;-;-;Proibição de operações de pouso de aeronaves de asa fixa com motor à reação (turbojato) e proibição de operações noturnas, exceto no caso de operações de emergência médica ou de transporte de valores realizadas mediante prévia coordenação com o Operador d;PA2020-0474;PA2020-0474;;-;SSPI;BR_publico_Atualizadoem_19JUL2022;-23,09;-52,48861111;474;130;1500;30;;;;;;;1
SSPL;RS0043;PALMEIRA DAS MISSÕES;PALMEIRA DAS MISSÕES;RS;27° 54' 6'' S;53° 19' 44'' W;635 m;VFR Diurno;-;-; 05/23;1000 m;18 m;PCN 4/F/A/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PD1958-0185;0;0;0;PD1958-0185;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SSPL;BR_publico_Atualizadoem_19JUL2022;-27,90166667;-53,32888889;635;50;1000;18;;;;;;;1
SSPM;MS0013;PORTO MURTINHO;PORTO MURTINHO;MS;21° 42' 46'' S;57° 52' 45'' W;81 m;VFR Diurno;-;-; 18/36;1300 m;30 m;PCN 15/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-0655;0;0;0;PA2015-0655;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SSPM;BR_publico_Atualizadoem_19JUL2022;-21,71277778;-57,87916667;81;180;1300;30;;;;;;;1
SSPN;MS0010;PARANAÍBA;PARANAÍBA;MS;19° 39' 4'' S;51° 11' 58'' W;442 m;VFR Diurno;-;-; 14/32;1320 m;23 m;PCN 12/F/A/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-2850;0;0;0;PA2015-2850;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;Proibição de operações de pouso de aeronaves de asa fixa com motor à reação (turbojato).;PA2020-0720;PA2020-0720;;-;SSPN;BR_publico_Atualizadoem_19JUL2022;-19,65111111;-51,19944444;442;140;1320;23;;;;;;;1
SSPS;PR0036;DIMORVAN CARRARO;PALMAS;PR;26° 28' 20'' S;51° 58' 32'' W;1100 m;VFR Diurno;-;-; 03/21;1050 m;23 m;PCN 19/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-0983;0;0;0;PA2020-0983;;;;AP-0;Classe I;4ª;-;-;-;-;-;-;-;-;-;-;;-;SSPS;BR_publico_Atualizadoem_19JUL2022;-26,47222222;-51,97555556;1100;30;1050;23;;;;;;;1
SSPT;PR0028;BRASÍLIO MARQUES;PALOTINA;PR;24° 20' 36'' S;53° 49' 43'' W;373 m;VFR Diurno;-;-; 03/21;1100 m;18 m;5700 kg / 0.5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2019-3554;0;0;0;PA2019-3554;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SSPT;BR_publico_Atualizadoem_19JUL2022;-24,34333333;-53,82861111;373;30;1100;18;;;;;;;1
SSQC;PR0029;AGUINALDO PEREIRA LIMA;SIQUEIRA CAMPOS;PR;23° 40' 28'' S;49° 49' 8'' W;705 m;VFR Diurno;-;-; 07/25;1200 m;23 m;5700 kg / 0.5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PD1983-0010;0;0;0;PD1983-0010;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;Interditado;PA2020-1264;PA2020-1264;;-;SSQC;BR_publico_Atualizadoem_19JUL2022;-23,67444444;-49,81888889;705;70;1200;23;;;;;;;1
SSQP;BA0061;MONTE SANTO;MONTE SANTO;BA;10° 27' 55'' S;39° 17' 10'' W;443 m;VFR Diurno;-;-; 17/35;1000 m;30 m;5700 kg / 0.5 MPa;Piçarra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-2706;0;0;0;PA2015-2706;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SSQP;BR_publico_Atualizadoem_19JUL2022;-10,46527778;-39,28611111;443;170;1000;30;;;;;;;1
SSQT;PR0013;MAJOR NEODO S. PEREIRA;CASTRO;PR;24° 48' 27'' S;49° 57' 37'' W;1010 m;VFR Diurno;-;-; 05/23;1420 m;30 m;2500 kg / 0.5 MPa;Terra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SSQT;BR_publico_Atualizadoem_19JUL2022;-24,8075;-49,96027778;1010;50;1420;30;;;;;;;1
SSRE;PR0030;REALEZA;REALEZA;PR;25° 48' 4'' S;53° 30' 47'' W;501 m;VFR Diurno;-;-; 06/24;1200 m;18 m;PCN 6/F/B/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2013-2699;0;0;0;PA2013-2699;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SSRE;BR_publico_Atualizadoem_19JUL2022;-25,80111111;-53,51305556;501;60;1200;18;;;;;;;1
SSRF;BA0034;CASTRO ALVES;CASTRO ALVES;BA;12° 45' 57'' S;39° 27' 4'' W;261 m;VFR Diurno;-;-; 13/31;1300 m;21 m;PCN 8/F/C/Y/U;Cascalho;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2018-0664;0;0;0;PA2018-0664;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SSRF;BR_publico_Atualizadoem_19JUL2022;-12,76583333;-39,45111111;261;130;1300;21;;;;;;;1
SSRG;SP0030;AEROPORTO ESTADUAL DE REGISTRO;REGISTRO;SP;24° 31' 54'' S;47° 50' 25'' W;25 m;VFR Diurno;-;-; 10/28;1430 m;30 m;PCN 30/F/B/X/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2012-2146;0;0;0;PA2012-2146;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SSRG;BR_publico_Atualizadoem_19JUL2022;-24,53166667;-47,84027778;25;100;1430;30;;;;;;;1
SSRS;MA0008;BARREIRINHAS;BARREIRINHAS;MA;2° 45' 24'' S;42° 48' 16'' W;4 m;VFR Diurno;-;-; 11/29;1500 m;30 m;PCN 71/F/A/Y/T;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2014-0211;0;0;0;PA2014-0211;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SSRS;BR_publico_Atualizadoem_19JUL2022;-2,756666667;-42,80444444;4;110;1500;30;;;;;;;1
SSRU;RS0034;SÃO LOURENÇO DO SUL;SÃO LOURENÇO DO SUL;RS;31° 23' 5'' S;52° 1' 57'' W;27 m;VFR Diurno;-;-; 03/21;1055 m;18 m;5700 kg / 0.5 MPa;Saibro;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-2448;0;0;0;PA2020-2448;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SSRU;BR_publico_Atualizadoem_19JUL2022;-31,38472222;-52,0325;27;30;1055;18;;;;;;;1
SSRZ;RS0024;DÁRIO BRASIL CAPOANO DE OLIVEIRA;ROSÁRIO DO SUL;RS;30° 16' 39'' S;54° 55' 31'' W;102 m;VFR Diurno;-;-; 10/28;1000 m;20 m;5700 kg / 0.5 MPa;Saibro;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-0976;0;0;0;PA2020-0976;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SSRZ;BR_publico_Atualizadoem_19JUL2022;-30,2775;-54,92527778;102;100;1000;20;;;;;;;1
SSSB;RS0014;SÃO BORJA;SÃO BORJA;RS;28° 39' 17'' S;56° 2' 5'' W;80 m;VFR Diurno;-;-; 07/25;1500 m;30 m;PCN 17/F/C/Y/U;Asfalto; 14/32;700 m;18 m;5700 kg / 0.5 MPa;Grama;-;-;-;-;-;-;-;-;-;-;PA2020-1754;0;0;0;PA2020-1754;;;;AP-1;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SSSB;BR_publico_Atualizadoem_19JUL2022;-28,65472222;-56,03472222;80;70;1500;30;140;700;18;;;;2
SSSC;RS0029;SANTA CRUZ DO SUL;SANTA CRUZ DO SUL;RS;29° 41' 3'' S;52° 24' 44'' W;199 m;VFR Diurno;-;-; 08/26;1180 m;18 m;PCN 8/F/C/Y/U;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1024;0;0;0;PA2020-1024;;;;AP-1;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SSSC;BR_publico_Atualizadoem_19JUL2022;-29,68416667;-52,41222222;199;80;1180;18;;;;;;;1
SSSD;RS0017;SOLEDADE;SOLEDADE;RS;28° 51' 48'' S;52° 32' 26'' W;673 m;VFR Diurno;-;-; 17/35;1199 m;23 m;5700 kg / 1 MPa;Grama;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1287;0;0;0;PA2020-1287;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SSSD;BR_publico_Atualizadoem_19JUL2022;-28,86333333;-52,54055556;673;170;1199;23;;;;;;;1
SSSG;RS0035;SÃO GABRIEL;SÃO GABRIEL;RS;30° 20' 42'' S;54° 16' 4'' W;145 m;VFR Diurno;-;-; 04/22;1000 m;42 m;PCN 8/F/C/Y/U;Saibro;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2021-3957;0;0;0;PA2021-3957;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SSSG;BR_publico_Atualizadoem_19JUL2022;-30,345;-54,26777778;145;40;1000;42;;;;;;;1
SSSS;SC0022;SÃO FRANCISCO DO SUL;SÃO FRANCISCO DO SUL;SC;26° 13' 16'' S;48° 33' 52'' W;15 m;VFR Diurno;-;-; 18/36;700 m;35 m;2500 kg / 0.5 MPa;Grama;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-1290;0;0;0;PA2020-1290;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SSSS;BR_publico_Atualizadoem_19JUL2022;-26,22111111;-48,56444444;15;180;700;35;;;;;;;1
SSST;RS0015;SANTIAGO;SANTIAGO;RS;29° 12' 54'' S;54° 50' 32'' W;445 m;VFR Diurno;-;-; 17/35;1340 m;60 m;PCN 8/F/C/Y/U;Terra;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;0;;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SSST;BR_publico_Atualizadoem_19JUL2022;-29,215;-54,84222222;445;170;1340;60;;;;;;;1
SSSZ;PR0033;SERTANÓPOLIS;SERTANÓPOLIS;PR;23° 3' 43'' S;51° 0' 50'' W;361 m;VFR Diurno;-;-; 10/28;1000 m;30 m;5700 kg / 0.5 MPa;Grama;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2015-2705-1;0;0;0;PA2015-2705-1;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SSSZ;BR_publico_Atualizadoem_19JUL2022;-23,06194444;-51,01388889;361;100;1000;30;;;;;;;1
SSTB;SC0013;TRÊS BARRAS;TRÊS BARRAS;SC;26° 7' 58'' S;50° 18' 35'' W;780 m;VFR Diurno;-;-; 03/21;1370 m;18 m;5000 kg / 0.5 MPa;Asfalto;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;PA2020-0977;0;0;0;PA2020-0977;;;;AP-0;Classe I;-;-;-;-;-;-;-;-;-;-;-;;-;SSTB;BR_publico_Atualizadoem_19JUL2022;-26,13277778;-50,30972222;780;30;1370;18;;;;;;;1
